M_size ; B_size ; n*(1/p)^(1/3) ; W ; D ; W/D ; D-W ; T_attendu; T_simul ; T_Sequentiel ; T_simul - T_attendu  ; T_Simul - T_Sequentiel 
2000 ; 500 ; 873.580464736299 ; 8036000000;141750000; 56.6913580246914 ; -7894250000 ; 811416666.666667 ; 781750000 ; 666666666.666667 ; -29666666.666667 ; 115083333.333333 
2000 ; 250 ; 873.580464736299 ; 8052000000;32062500; 251.134502923977 ; -8019937500 ; 703062500 ; 705312500 ; 666666666.666667 ; 2250000 ; 38645833.3333334 
2000 ; 100 ; 873.580464736299 ; 8091000000;17190000; 470.680628272251 ; -8073810000 ; 691440000 ; 712090000 ; 666666666.666667 ; 20650000 ; 45423333.3333334 
3000 ; 500 ; 1310.37069710445 ; 27099000000;162250000; 167.020030816641 ; -26936750000 ; 2420500000 ; 2327750000 ; 2250000000 ; -92750000 ; 77750000 
3000 ; 250 ; 1310.37069710445 ; 27121750000;52312500; 518.456391875747 ; -27069437500 ; 2312458333.33333 ; 2339187500 ; 2250000000 ; 26729166.6666698 ; 89187500 
3000 ; 100 ; 1310.37069710445 ; 27279000000;37290000; 731.536604987932 ; -27241710000 ; 2310540000 ; 2365670000 ; 2250000000 ; 55130000 ; 115670000 
4000 ; 500 ; 1747.1609294726 ; 64208000000;190750000; 336.608125819135 ; -64017250000 ; 5541416666.66667 ; 5508250000 ; 5333333333.33333 ; -33166666.6666698 ; 174916666.666667 
4000 ; 250 ; 1747.1609294726 ; 64242250000;80562500; 797.421256788208 ; -64161687500 ; 5434083333.33333 ; 5498875000 ; 5333333333.33333 ; 64791666.6666698 ; 165541666.666667 
4000 ; 100 ; 1747.1609294726 ; 64639000000;65390000; 988.515063465362 ; -64573610000 ; 5451973333.33333 ; 5563300000 ; 5333333333.33333 ; 111326666.66667 ; 229966666.666667 
5000 ; 500 ; 2183.95116184075 ; 125375000000;227250000; 551.705170517052 ; -125147750000 ; 10675166666.6667 ; 10713500000 ; 10416666666.6667 ; 38333333.3332996 ; 296833333.333334 
5000 ; 250 ; 2183.95116184075 ; 125484375000;116812500; 1074.23756019262 ; -125367562500 ; 10573843750 ; 10693187500 ; 10416666666.6667 ; 119343750 ; 276520833.333334 
