M_size , R_level ,, W , D , W/D , D-W , T_attendu, T_simul , T_Sequentiel , T_simul - T_attendu  , T_Simul - T_Sequentiel 
1000,1,,1010000000,130000000, 7.76923076923077 ,-880000000,382500000,258750000,250000000,-123750000,8750000
1000,2,,1026000000,21875000, 46.9028571428571 ,-1004125000,278375000,265375000,250000000,-13000000,15375000
1000,3,,1054000000,8515625, 123.77247706422 ,-1045484375,272015625,276265625,250000000,4250000,26265625
1000,4,,1131027840,6891927, 164.109085891362 ,-1124135913,289648887,301155960,250000000,11507073,51155960
1000,5,,1285434752,6695128, 191.995545417504 ,-1278739624,328053816,351286098,250000000,23232282,101286098
1500,1,,3397500000,433125000, 7.84415584415584 ,-2964375000,1282500000,864000000,843750000,-418500000,20250000
1500,2,,3433500000,66796875, 51.4021052631579 ,-3366703125,925171875,878484375,843750000,-46687500,34734375
1500,3,,3523908512,21414052, 164.5605657444 ,-3502494460,902391180,909488565,843750000,7097385,65738565
1500,4,,3641533344,15776684, 230.817410299908 ,-3625756660,926160020,951537587,843750000,25377567,107787587
1500,5,,3867734944,15094103, 256.241456945139 ,-3852640841,982027839,1033558508,843750000,51530669,189808508
2000,1,,8040000000,1020000000, 7.88235294117647 ,-7020000000,3030000000,2035000000,2000000000,-995000000,35000000
2000,2,,8104000000,150000000, 54.0266666666667 ,-7954000000,2176000000,2062000000,2000000000,-114000000,62000000
2000,3,,8216000000,41875000, 196.202985074627 ,-8174125000,2095875000,2104687500,2000000000,8812500,104687500
2000,4,,8424000000,28515625, 295.41698630137 ,-8395484375,2134515625,2181546875,2000000000,47031250,181546875
2000,5,,9023965696,26891927, 335.564115431371 ,-8997073769,2282883351,2374441286,2000000000,91557935,374441286
2500,1,,15687500000,1984375000, 7.90551181102362 ,-13703125000,5906250000,3960937500,3906250000,-1945312500,54687500
2500,2,,15787500000,283203125, 55.7462068965517 ,-15504296875,4230078125,4003125000,3906250000,-226953125,96875000
2500,3,,16038180512,71686177, 223.727658290384 ,-15966494335,4081231305,4087879436,3906250000,6648131,181629436
2500,4,,16517269664,45384753, 363.938736517967 ,-16471884911,4174702169,4244665397,3906250000,69963228,338415397
2500,5,,17461168288,42132719, 414.432505246101 ,-17419035569,4407424791,4552804691,3906250000,145379900,646554691
3000,1,,27090000000,3420000000, 7.92105263157895 ,-23670000000,10192500000,6828750000,6750000000,-3363750000,78750000
3000,2,,27234000000,478125000, 56.96 ,-26755875000,7286625000,6889500000,6750000000,-397125000,139500000
3000,3,,27486000000,111796875, 245.856603773585 ,-27374203125,6983296875,6986109375,6750000000,2812500,236109375
3000,4,,28173075840,66414052, 424.203538130756 ,-28106661788,7109683012,7211480726,6750000000,101797714,461480726
3000,5,,29077882240,60776684, 478.438116827828 ,-29017105556,7330247244,7532507626,6750000000,202260382,782507626
3500,1,,42997500000,5420625000, 7.93220338983051 ,-37576875000,16170000000,10825937500,10718750000,-5344062500,107187500
3500,2,,43193500000,746484375, 57.8625641025641 ,-42447015625,11544859375,10906328125,10718750000,-638531250,187578125
3500,3,,43684452512,164427052, 265.676796978638 ,-43520025460,11085540180,11075925217,10718750000,-9614963,357175217
3500,4,,44322909344,91862059, 482.494185591899 ,-44231047285,11172589395,11310983829,10718750000,138394434,592233829
3500,5,,46153989280,82931600, 556.530795016616 ,-46071057680,11621428920,11901415988,10718750000,279987068,1182665988
4000,1,,64160000000,8080000000, 7.94059405940594 ,-56080000000,24120000000,16136000000,16000000000,-7984000000,136000000
4000,2,,64416000000,1100000000, 58.56 ,-63316000000,17204000000,16246000000,16000000000,-958000000,246000000
4000,3,,64864000000,230000000, 282.017391304348 ,-64634000000,16446000000,16421250000,16000000000,-24750000,421250000
4000,4,,65696000000,121875000, 539.044102564103 ,-65574125000,16545875000,16728562500,16000000000,182687500,728562500
4000,5,,67296000000,108515625, 620.150323974082 ,-67187484375,16932515625,17304296875,16000000000,371781250,1304296875
4500,1,,91327500000,11491875000, 7.94713656387665 ,-79835625000,34323750000,22963500000,22781250000,-11360250000,182250000
4500,2,,91651500000,1550390625, 59.1151020408163 ,-90101109375,24463265625,23096390625,22781250000,-1366875000,315140625
4500,3,,92462724512,311355427, 296.968404896312 ,-92151369085,23427036555,23364249681,22781250000,-62786874,582999681
4500,4,,94009077664,156918128, 599.096349556248 ,-93852159536,23659187544,23883418981,22781250000,224231437,1102168981
